Period,Value
Oct-05,105
Nov-05,86
Dec-05,87
Jan-06,89
Feb-06,88
Mar-06,108
Apr-06,100
May-06,102
Jun-06,98
Jul-06,83
Aug-06,88
Sep-06,80
Oct-06,74
Nov-06,71
Dec-06,71
Jan-07,66
Feb-07,68
Mar-07,80
Apr-07,83
May-07,79
Jun-07,73
Jul-07,68
Aug-07,60
Sep-07,53
Oct-07,57
Nov-07,45
Dec-07,44
Jan-08,44
Feb-08,48
Mar-08,49
Apr-08,49
May-08,49
Jun-08,45
Jul-08,43
Aug-08,38
Sep-08,35
Oct-08,32
Nov-08,27
Dec-08,26
Jan-09,24
Feb-09,29
Mar-09,31
Apr-09,32
May-09,34
Jun-09,37
Jul-09,38
Aug-09,36
Sep-09,30
Oct-09,33
Nov-09,26
Dec-09,24
Jan-10,24
Feb-10,27
Mar-10,36
Apr-10,41
May-10,26
Jun-10,28
Jul-10,26
Aug-10,23
Sep-10,25
Oct-10,23
Nov-10,20
Dec-10,23
Jan-11,21
Feb-11,22
Mar-11,28
Apr-11,30
May-11,28
Jun-11,28
Jul-11,27
Aug-11,25
Sep-11,24
Oct-11,25
Nov-11,23
Dec-11,24
Jan-12,23
Feb-12,30
Mar-12,34
Apr-12,34
May-12,35
Jun-12,34
Jul-12,33
Aug-12,31
Sep-12,30
Oct-12,29
Nov-12,28
Dec-12,28
Jan-13,32
Feb-13,36
Mar-13,41
Apr-13,43
May-13,40
Jun-13,43
Jul-13,33
Aug-13,31
Sep-13,31
Oct-13,36
Nov-13,32
Dec-13,31
Jan-14,33
Feb-14,35
Mar-14,39
Apr-14,39
May-14,43
Jun-14,38
Jul-14,35
Aug-14,36
Sep-14,37
Oct-14,38
Nov-14,31
Dec-14,35
Jan-15,39
Feb-15,45
Mar-15,46
Apr-15,48
May-15,47
Jun-15,44
Jul-15,43
Aug-15,41
Sep-15,35
Oct-15,39
Nov-15,36
Dec-15,38
Jan-16,39
Feb-16,45
Mar-16,50
Apr-16,55
May-16,53
Jun-16,50
Jul-16,54
Aug-16,46
Sep-16,44
Oct-16,46
Nov-16,40
Dec-16,39
Jan-17,45
Feb-17,51
Mar-17,61
Apr-17,56
May-17,57
Jun-17,56
Jul-17,48
Aug-17,45
Sep-17,50
Oct-17,49
Nov-17,50
Dec-17,45
Jan-18,48
Feb-18,54
Mar-18,66
Apr-18,61
May-18,62
Jun-18,56
Jul-18,52
Aug-18,47
Sep-18,46
Oct-18,43
Nov-18,44
Dec-18,38
Jan-19,49
Feb-19,57
Mar-19,68
Apr-19,64
May-19,56
Jun-19,66
Jul-19,55
Aug-19,57
Sep-19,56
Oct-19,55
Nov-19,50
Dec-19,49
Jan-20,59
Feb-20,63
Mar-20,59
Apr-20,52
May-20,64
Jun-20,79
Jul-20,85
Aug-20,81
Sep-20,77
Oct-20,78
Nov-20,61
Dec-20,63
Jan-21,77
Feb-21,70
Mar-21,83
Apr-21,74
May-21,65
Jun-21,61
Jul-21,62
Aug-21,55
Sep-21,58
Oct-21,51
Nov-21,54
Dec-21,61
Jan-22,70
Feb-22,71
Mar-22,68
Apr-22,56
May-22,58
Jun-22,48
Jul-22,44
Aug-22,51
Sep-22,44
Oct-22,43
Nov-22,41
Dec-22,47
Jan-23,55
Feb-23,56
Mar-23,62
Apr-23,60
May-23,67
Jun-23,58
Jul-23,60
Aug-23,53
Sep-23,56
Oct-23,51
Nov-23,NA
Dec-23,NA
